             x           rho             u             p
  -0.49950E+00   0.10000E+01  -0.20000E+01   0.40000E+00
  -0.49850E+00   0.10000E+01  -0.20000E+01   0.40000E+00
  -0.49750E+00   0.10000E+01  -0.20000E+01   0.40000E+00
  -0.49650E+00   0.10000E+01  -0.20000E+01   0.40000E+00
  -0.49550E+00   0.10000E+01  -0.20000E+01   0.40000E+00
  -0.49450E+00   0.10000E+01  -0.20000E+01   0.40000E+00
  -0.49350E+00   0.10000E+01  -0.20000E+01   0.40000E+00
  -0.49250E+00   0.10000E+01  -0.20000E+01   0.40000E+00
  -0.49150E+00   0.10000E+01  -0.20000E+01   0.40000E+00
  -0.49050E+00   0.10000E+01  -0.20000E+01   0.40000E+00
  -0.48950E+00   0.10000E+01  -0.20000E+01   0.40000E+00
  -0.48850E+00   0.10000E+01  -0.20000E+01   0.40000E+00
  -0.48750E+00   0.10000E+01  -0.20000E+01   0.40000E+00
  -0.48650E+00   0.10000E+01  -0.20000E+01   0.40000E+00
  -0.48550E+00   0.10000E+01  -0.20000E+01   0.40000E+00
  -0.48450E+00   0.10000E+01  -0.20000E+01   0.40000E+00
  -0.48350E+00   0.10000E+01  -0.20000E+01   0.40000E+00
  -0.48250E+00   0.10000E+01  -0.20000E+01   0.40000E+00
  -0.48150E+00   0.10000E+01  -0.20000E+01   0.40000E+00
  -0.48050E+00   0.10000E+01  -0.20000E+01   0.40000E+00
  -0.47950E+00   0.10000E+01  -0.20000E+01   0.40000E+00
  -0.47850E+00   0.10000E+01  -0.20000E+01   0.40000E+00
  -0.47750E+00   0.10000E+01  -0.20000E+01   0.40000E+00
  -0.47650E+00   0.10000E+01  -0.20000E+01   0.40000E+00
  -0.47550E+00   0.10000E+01  -0.20000E+01   0.40000E+00
  -0.47450E+00   0.10000E+01  -0.20000E+01   0.40000E+00
  -0.47350E+00   0.10000E+01  -0.20000E+01   0.40000E+00
  -0.47250E+00   0.10000E+01  -0.20000E+01   0.40000E+00
  -0.47150E+00   0.10000E+01  -0.20000E+01   0.40000E+00
