             x   	rho	        ux             p
  -0.40650E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.40550E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.40450E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.40350E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.40250E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.40150E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.40050E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.39950E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.39850E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.39750E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.39650E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.39550E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.39450E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.39350E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.39250E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.39150E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.39050E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.38950E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.38850E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.38750E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.38650E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.38550E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.38450E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.38350E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.38250E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.38150E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.38050E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.37950E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.37850E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.37750E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.37650E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.37550E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.37450E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.37350E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.37250E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.37150E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.37050E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.36950E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.36850E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.36750E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.36650E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.36550E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.36450E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.36350E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.36250E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.36150E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.36050E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.35950E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.35850E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.35750E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.35650E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.35550E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.35450E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.35350E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.35250E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.35150E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.35050E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.34950E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.34850E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.34750E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.34650E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.34550E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.34450E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.34350E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.34250E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.34150E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.34050E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.33950E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.33850E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.33750E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.33650E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.33550E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.33450E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.33350E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.33250E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.33150E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.33050E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.32950E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.32850E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.32750E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.32650E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.32550E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.32450E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.32350E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.32250E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.32150E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.32050E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.31950E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.31850E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.31750E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.31650E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.31550E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.31450E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.31350E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.31250E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.31150E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.31050E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.30950E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.30850E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.30750E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.30650E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.30550E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.30450E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.30350E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.30250E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.30150E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.30050E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.29950E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.29850E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.29750E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.29650E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.29550E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.29450E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.29350E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.29250E+00   0.59992E+01   0.19597E+02   0.46089E+03
