             x           rho             u             p
  -0.49950E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.49850E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.49750E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.49650E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.49550E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.49450E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.49350E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.49250E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.49150E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.49050E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.48950E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.48850E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.48750E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.48650E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.48550E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.48450E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.48350E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.48250E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.48150E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.48050E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.47950E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.47850E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.47750E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.47650E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.47550E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.47450E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.47350E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.47250E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.47150E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.47050E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.46950E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.46850E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.46750E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.46650E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.46550E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.46450E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.46350E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.46250E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.46150E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.46050E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.45950E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.45850E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.45750E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.45650E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.45550E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.45450E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.45350E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.45250E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.45150E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.45050E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.44950E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.44850E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.44750E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.44650E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.44550E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.44450E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.44350E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.44250E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.44150E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.44050E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.43950E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.43850E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.43750E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.43650E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.43550E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.43450E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.43350E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.43250E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.43150E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.43050E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.42950E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.42850E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.42750E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.42650E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.42550E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.42450E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.42350E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.42250E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.42150E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.42050E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.41950E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.41850E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.41750E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.41650E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.41550E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.41450E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.41350E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.41250E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.41150E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.41050E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.40950E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.40850E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.40750E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.40650E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.40550E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.40450E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.40350E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.40250E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.40150E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.40050E+00   0.80000E+01   0.00000E+00   0.48000E+03
  -0.39950E+00   0.79925E+01   0.93750E-02   0.47925E+03
  -0.39850E+00   0.79775E+01   0.28125E-01   0.47775E+03
  -0.39750E+00   0.79626E+01   0.46875E-01   0.47626E+03
  -0.39650E+00   0.79476E+01   0.65625E-01   0.47477E+03
  -0.39550E+00   0.79327E+01   0.84375E-01   0.47329E+03
  -0.39450E+00   0.79178E+01   0.10312E+00   0.47181E+03
  -0.39350E+00   0.79029E+01   0.12187E+00   0.47033E+03
  -0.39250E+00   0.78880E+01   0.14062E+00   0.46885E+03
  -0.39150E+00   0.78732E+01   0.15938E+00   0.46738E+03
  -0.39050E+00   0.78583E+01   0.17813E+00   0.46592E+03
  -0.38950E+00   0.78435E+01   0.19687E+00   0.46446E+03
  -0.38850E+00   0.78287E+01   0.21562E+00   0.46300E+03
  -0.38750E+00   0.78140E+01   0.23437E+00   0.46154E+03
  -0.38650E+00   0.77992E+01   0.25313E+00   0.46009E+03
  -0.38550E+00   0.77845E+01   0.27188E+00   0.45864E+03
  -0.38450E+00   0.77697E+01   0.29062E+00   0.45720E+03
  -0.38350E+00   0.77550E+01   0.30937E+00   0.45576E+03
  -0.38250E+00   0.77404E+01   0.32812E+00   0.45432E+03
  -0.38150E+00   0.77257E+01   0.34688E+00   0.45288E+03
  -0.38050E+00   0.77111E+01   0.36563E+00   0.45145E+03
  -0.37950E+00   0.76964E+01   0.38437E+00   0.45003E+03
  -0.37850E+00   0.76818E+01   0.40312E+00   0.44861E+03
  -0.37750E+00   0.76672E+01   0.42187E+00   0.44719E+03
  -0.37650E+00   0.76527E+01   0.44063E+00   0.44577E+03
  -0.37550E+00   0.76381E+01   0.45938E+00   0.44436E+03
  -0.37450E+00   0.76236E+01   0.47813E+00   0.44295E+03
  -0.37350E+00   0.76090E+01   0.49687E+00   0.44155E+03
  -0.37250E+00   0.75945E+01   0.51562E+00   0.44014E+03
  -0.37150E+00   0.75801E+01   0.53438E+00   0.43875E+03
  -0.37050E+00   0.75656E+01   0.55313E+00   0.43735E+03
  -0.36950E+00   0.75512E+01   0.57188E+00   0.43596E+03
  -0.36850E+00   0.75367E+01   0.59062E+00   0.43457E+03
  -0.36750E+00   0.75223E+01   0.60937E+00   0.43319E+03
  -0.36650E+00   0.75079E+01   0.62813E+00   0.43181E+03
  -0.36550E+00   0.74936E+01   0.64688E+00   0.43043E+03
  -0.36450E+00   0.74792E+01   0.66563E+00   0.42906E+03
  -0.36350E+00   0.74649E+01   0.68437E+00   0.42769E+03
  -0.36250E+00   0.74506E+01   0.70312E+00   0.42633E+03
  -0.36150E+00   0.74363E+01   0.72188E+00   0.42496E+03
  -0.36050E+00   0.74220E+01   0.74063E+00   0.42360E+03
  -0.35950E+00   0.74077E+01   0.75938E+00   0.42225E+03
  -0.35850E+00   0.73935E+01   0.77813E+00   0.42090E+03
  -0.35750E+00   0.73793E+01   0.79687E+00   0.41955E+03
  -0.35650E+00   0.73651E+01   0.81563E+00   0.41820E+03
  -0.35550E+00   0.73509E+01   0.83437E+00   0.41686E+03
  -0.35450E+00   0.73367E+01   0.85312E+00   0.41552E+03
  -0.35350E+00   0.73226E+01   0.87187E+00   0.41419E+03
  -0.35250E+00   0.73084E+01   0.89062E+00   0.41286E+03
  -0.35150E+00   0.72943E+01   0.90937E+00   0.41153E+03
  -0.35050E+00   0.72802E+01   0.92812E+00   0.41020E+03
  -0.34950E+00   0.72662E+01   0.94687E+00   0.40888E+03
  -0.34850E+00   0.72521E+01   0.96562E+00   0.40757E+03
  -0.34750E+00   0.72381E+01   0.98437E+00   0.40625E+03
  -0.34650E+00   0.72240E+01   0.10031E+01   0.40494E+03
  -0.34550E+00   0.72100E+01   0.10219E+01   0.40363E+03
  -0.34450E+00   0.71960E+01   0.10406E+01   0.40233E+03
  -0.34350E+00   0.71821E+01   0.10594E+01   0.40103E+03
  -0.34250E+00   0.71681E+01   0.10781E+01   0.39973E+03
  -0.34150E+00   0.71542E+01   0.10969E+01   0.39844E+03
  -0.34050E+00   0.71403E+01   0.11156E+01   0.39715E+03
  -0.33950E+00   0.71264E+01   0.11344E+01   0.39586E+03
  -0.33850E+00   0.71125E+01   0.11531E+01   0.39457E+03
  -0.33750E+00   0.70986E+01   0.11719E+01   0.39329E+03
